region,year,month,IBMR,sal_base_median,sal_base_l95,sal_base_u95,sal_D1641_median,sal_D1641_l95,sal_D1641_u95,sal_NAA_median,sal_NAA_l95,sal_NAA_u95
Confluence,2001,5,allcopnaup,1,1,1,1.190304648778346,0.9333576105346044,1.5226503093033459,1.2048640226790446,0.8914715396385134,1.6225179226625888
Confluence,2001,5,daphnia,1,1,1,1.5639487433080475,1.2998624897393893,1.8949725995222206,2.0621227525149473,1.683859427155076,2.567878279953847
Confluence,2001,5,eurytem,1,1,1,1.049949823657355,0.8949640143020874,1.2393805055865237,1.070457621303139,0.9036210322946483,1.28663546882
Confluence,2001,5,limno,1,1,1,0.42334319158542594,0.3084660816505932,0.5806195722435116,0.28469223188100007,0.19835915995422496,0.40779890027270776
Confluence,2001,5,mysid,1,1,1,0.540186166935744,0.3732599785658136,0.7595859157607348,0.3312955554099366,0.22180219201678114,0.49713340699480607
Confluence,2001,5,othcalad,1,1,1,2.4425002538398397,2.0060940702689063,2.942022574183659,2.770629438631828,2.210820163065476,3.3883488245278697
Confluence,2001,5,othcaljuv,1,1,1,1.264667095549409,1.1478664104641056,1.3850220083594893,1.283983031612669,1.1515681794381012,1.422701720044724
Confluence,2001,5,othclad,1,1,1,1.8319440377280731,1.5914824279552764,2.0937246818299067,2.4976287087597733,2.139282370504524,2.9039926371038605
Confluence,2001,5,othcyc,1,1,1,0.5278032159443988,0.40121112370100537,0.7229248898978327,0.39561281492343003,0.28856495422634637,0.5681517569005425
Confluence,2001,5,other,1,1,1,0.6952978299929997,0.4701137366154605,0.9877824906636462,0.7543155968062893,0.47965684845588885,1.1373228506045991
Confluence,2001,5,pdiapfor,1,1,1,1.1052894457845543,0.9698676958681689,1.2392543021189693,1.1295311405512642,0.9693816114541076,1.3002659841908464
Confluence,2001,6,acartela,1,1,1,0.9607986968800177,0.8176660523894236,1.1156401650270926,0.9521016594354024,0.7768974186226782,1.1446918691599912
Confluence,2001,6,allcopnaup,1,1,1,2.132962568067007,1.616588092646978,2.8235033407980965,2.358302791504163,1.7135607149295409,3.3036229140115436
Confluence,2001,6,daphnia,1,1,1,1.4231561999183144,1.1046727811102373,2.0181402147930707,1.452379109712754,1.0699606559268853,2.159667887141149
Confluence,2001,6,eurytem,1,1,1,0.9500942116998171,0.7793572394184759,1.2112619238610358,0.92305979724598,0.7144735110554423,1.2325443211871439
Confluence,2001,6,limno,1,1,1,0.6983740588070775,0.4985577597095073,0.9440500045292508,0.6627194967654209,0.44041539724311113,0.9583334393056702
Confluence,2001,6,mysid,1,1,1,1.93727994551154,1.220013504957406,3.01855592991326,2.211027069596324,1.2749396318683748,3.8197285142638995
Confluence,2001,6,othcalad,1,1,1,2.3657981383797515,1.9222876652253842,2.8313471158313437,3.058589344085381,2.3845145795173397,3.8210742569712544
Confluence,2001,6,othcaljuv,1,1,1,1.5845271704240762,1.4396787824098842,1.744347988624924,1.767705410726821,1.5724015681923809,1.9890506202584668
Confluence,2001,6,othclad,1,1,1,1.773565598992392,1.499584527600845,2.1168350304892884,1.9286802451854546,1.5773384112274713,2.3732541330261845
Confluence,2001,6,othcyc,1,1,1,0.6466238509442407,0.48751549522207505,0.8553975334984779,0.6044306884699333,0.431113965669551,0.8562468419995001
Confluence,2001,6,other,1,1,1,0.3249983534624376,0.2261134332861989,0.46256308991698547,0.27742791014890555,0.1803808138453456,0.4210473366081215
Confluence,2001,6,pdiapfor,1,1,1,2.097231364416562,1.8310824397789258,2.3677226062249552,2.314372917865539,1.9724483658653176,2.6769091597150902
Confluence,2001,7,acartela,1,1,1,0.9477876771224114,0.8596787625756985,1.0492802596561577,0.9422807394664288,0.8450195669146969,1.0552465946973753
Confluence,2001,7,allcopnaup,1,1,1,1.5146475873934098,1.0743557791566098,2.2911256271893747,1.6492352862716753,1.118759056024806,2.63049171180699
Confluence,2001,7,daphnia,1,1,1,1.4720857745563896,1.0571644751343772,186.28180818576035,1.5385243239582993,1.0627077385159502,207.73983059264677
Confluence,2001,7,eurytem,1,1,1,1.7320726797791706,0,Inf,1.8300530059403735,0,Inf
Confluence,2001,7,limno,1,1,1,0.8072186232913109,0.621415865062343,1.0987260717767184,0.7778486078189901,0.576393994389808,1.092788527626846
Confluence,2001,7,mysid,1,1,1,1.0766087919416802,0.7514990082871733,1.5285262215924027,1.123201161655899,0.7508151840939522,1.6674132503374168
Confluence,2001,7,othcalad,1,1,1,0.6364453866477516,0.5515584584082197,0.7300637095599533,0.6186001618227435,0.5266982261907693,0.7217806362930304
